bearID,sampleDate,sampleTime,latitude,longitude,agency,sex,bearAge,ageCode,cubAgeClass,reproClass,SLBL,correctedSLBL,girth,mass,cortisolAssay_pg_mg,,
112,1985-04-28,10:27,70.3833,-147.6333,usgs,F,14,A,C0,IF,182,195.76,104.5,151.95,4.9142,,
113,1985-04-30,13:00,70.6667,-147.1833,usgs,M,5,A,NA,SM,190,203.74,114,190.51,5.9827,,
114,1985-05-02,10:30,70.3333,-147.2833,usgs,F,10,A,C0,IF,172,185.76,110,140.61,5.8537,,
115,1985-05-05,12:27,71.0167,-148.9500,usgs,F,3,S,NA,SF,173,185.41,112,150.14,6.3520,,
116,1985-05-11,17:58,70.5333,-146.8000,usgs,F,11,A,C0,IF,NA,NA,NA,NA,6.1021,,
117,1988-04-20,14:00,70.9500,-148.2833,usgs,M,4,S,NA,SM,188,201.74,123,218.18,2.8615,,
118,1985-10-27,12:50,70.7333,-146.1833,usgs,M,11,A,NA,AM,NA,NA,NA,NA,4.6331,,
119,1985-10-30,11:46,70.6000,-146.8000,usgs,F,4,S,NA,SF,NA,NA,NA,NA,3.5010,,
120,1985-11-01,14:48,70.9833,-148.2000,usgs,F,4,S,NA,SF,NA,NA,NA,NA,6.3060,,
121,1985-11-02,12:10,70.8167,-146.7000,usgs,M,9,A,NA,AM,NA,NA,NA,NA,3.7237,,
122,1985-11-05,14:20,70.3500,-143.7333,usgs,M,15,A,NA,AM,NA,NA,NA,NA,4.5714,,
123,1985-11-06,10:17,70.6333,-144.0833,usgs,F,10,A,C1,E1,NA,NA,NA,NA,4.9530,,
124,1985-11-15,10:20,70.5667,-143.3333,usgs,F,12,A,C1,E1,NA,NA,NA,NA,7.2634,,
124,1988-10-30,14:40,70.9833,-151.7167,usgs,F,15,A,C0,E0,NA,NA,NA,NA,3.6337,,
125,1988-10-24,11:24,70.4833,-147.2333,usgs,F,17,A,C0,E0,NA,NA,NA,NA,2.9683,,
126,1985-03-14,13:20,70.6000,-141.6667,usgs,M,3,S,NA,SM,181,194.74,135,254.01,6.0086,,
127,2008-04-12,18:49,71.1210,-152.2014,usgs,F,22,A,NA,UF,201,201.00,128.5,255.83,3.7689,,
128,1988-04-13,20:19,70.0500,-144.0833,usgs,F,7,A,C0,IF,179,192.76,100,144.24,3.0309,,
128,2004-04-14,0:00,70.7514,-147.3449,usgs,F,23,A,C0,IF,NA,NA,NA,NA,25.0745,,
129,1987-04-23,16:30,70.7500,-164.6167,usgs,M,12,A,NA,AM,214,229.65,149,382.83,4.1773,,
130,1987-04-24,11:55,71.0500,-157.5500,usgs,F,5,A,NA,SF,188,200.41,118,195.95,0.8174,,
131,1988-03-23,13:14,71.1667,-147.8333,usgs,F,7,A,C1,E0,183,196.76,108,166.01,5.8825,,
132,1987-03-17,17:11,63.6500,-168.8500,usgs,F,30,A,NA,UF,213,226.76,124,201.85,4.1784,,
133,1987-03-25,10:18,66.2000,-167.8833,usgs,F,10,A,NA,UF,191,204.76,127,213.19,3.2701,,
134,1987-03-29,18:40,66.8167,-166.5667,usgs,F,4,S,NA,SF,181,193.41,107,161.03,5.9478,,
135,1987-03-30,13:01,66.8333,-167.3667,usgs,F,15,A,C2,E1,195,208.76,121,204.12,3.2288,,
136,1988-05-01,14:26,73.1667,-157.9167,usgs,F,3,S,NA,SF,169,181.41,102,139.25,3.8364,,
136,1988-11-04,10:55,70.9333,-149.5667,usgs,F,3,S,NA,SF,NA,NA,NA,NA,2.7640,,
137,1988-04-18,14:00,70.4000,-143.2500,usgs,M,8,A,NA,AM,226,241.65,144,356.52,2.4765,,
138,1988-04-18,17:43,70.3667,-143.2500,usgs,F,5,A,NA,SF,168,180.41,95,127.91,3.5614,,
139,1988-04-20,16:00,70.8333,-147.6333,usgs,F,9,A,NA,UF,170,183.76,115,161.93,3.3625,,
140,1988-04-25,15:56,71.2000,-147.6667,usgs,M,4,S,NA,SM,169,182.74,108,152.41,4.8038,,
141,1988-05-04,17:15,70.7333,-146.3167,usgs,M,4,S,NA,SM,174,187.74,102,145.60,5.4852,,
142,1988-05-04,20:38,70.7000,-148.2000,usgs,F,7,A,C0,IF,182,195.76,107,161.48,4.2349,,
143,1988-05-06,15:22,71.2167,-149.8333,usgs,M,12,A,NA,AM,220,235.65,135,313.89,3.6101,,
144,1988-10-18,10:36,70.6667,-146.5500,usgs,F,7,A,C0,E0,NA,NA,NA,NA,2.6230,,
145,1988-10-18,16:25,70.8333,-149.4000,usgs,F,8,A,C1,E1,NA,NA,NA,NA,2.6626,,
146,1988-10-19,10:07,70.2000,-146.5000,usgs,F,6,A,NA,IF,NA,NA,NA,NA,3.1566,,
147,1988-10-22,13:51,70.5333,-147.8000,usgs,F,9,A,C0,E0,NA,NA,NA,NA,4.7264,,
148,1988-10-24,16:22,70.4000,-147.2333,usgs,F,5,A,C0,E0,NA,NA,NA,NA,3.8718,,
149,1988-10-25,10:32,70.4000,-147.5667,usgs,F,5,A,NA,IF,NA,NA,NA,NA,2.7785,,
150,1988-10-25,12:22,70.4500,-147.4667,usgs,F,3,S,NA,SF,NA,NA,NA,NA,3.8091,,
151,1988-10-26,12:24,71.0333,-152.5500,usgs,F,8,A,C0,E0,NA,NA,NA,NA,4.1456,,
152,1988-10-26,15:39,71.0833,-152.5500,usgs,F,9,A,NA,IF,NA,NA,NA,NA,2.8354,,
153,1988-10-26,16:54,71.1333,-152.4667,usgs,F,17,A,C1,E1,NA,NA,NA,NA,2.9967,,
154,1988-10-28,16:19,70.7333,-148.5167,usgs,F,4,S,NA,SF,NA,NA,NA,NA,5.1883,,
